			FORMAT: logs are written as '[<hours>:<minutes>:<seconds>] <Object> (<x>, <y>) <action>'
[0:0:4] OrangeTree (0, 0) was planted
[0:0:4] OrangeTree (0, 1) was planted
[0:0:5] OrangeTree (1, 0) was planted
[0:0:6] OrangeTree (2, 0) was planted
[0:0:6] OrangeTree (2, 1) was planted
[0:0:7] OrangeTree (2, 2) was planted
[0:0:8] OrangeTree (1, 2) was planted
[0:0:9] OrangeTree (0, 2) was planted
[0:0:10] Irrigation (1, 1) was added
[0:0:12] PestControl (5, 0) was added
[0:0:14] Hydrangea (1, 3) was planted
[0:0:15] Rose (0, 3) was planted
[0:0:15] PlumTree (2, 3) was planted
[0:0:17] PlumTree (2, 3) has been removed
[0:0:18] Hydrangea (2, 3) was planted
[0:0:19] Hydrangea (2, 3) has been removed
[0:0:20] Daisy (2, 3) was planted
[0:0:21] Daisy (2, 4) was planted
[0:0:22] Daisy (2, 5) was planted
[0:0:23] Daisy (1, 5) was planted
[0:0:25] Rose (0, 5) was planted
[0:0:26] Rose (0, 4) was planted
[0:0:28] Sprinkler (1, 4) was added
[0:0:29] Simulation began

[0:0:31] OrangeTree (0, 0) was watered by an irrigation system
[0:0:31] OrangeTree (0, 1) was watered by an irrigation system
[0:0:31] OrangeTree (0, 2) was watered by an irrigation system
[0:0:31] Rose (0, 3) was watered by a sprinkler
[0:0:31] Rose (0, 4) was watered by a sprinkler
[0:0:31] Rose (0, 5) was watered by a sprinkler
[0:0:31] OrangeTree (1, 0) was watered by an irrigation system
[0:0:31] OrangeTree (1, 2) was watered by an irrigation system
[0:0:31] Hydrangea (1, 3) was watered by a sprinkler
[0:0:31] Daisy (1, 5) was watered by a sprinkler
[0:0:31] OrangeTree (2, 0) was watered by an irrigation system
[0:0:31] OrangeTree (2, 1) was watered by an irrigation system
[0:0:31] OrangeTree (2, 2) was watered by an irrigation system
[0:0:31] Daisy (2, 3) was watered by a sprinkler
[0:0:31] Daisy (2, 4) was watered by a sprinkler
[0:0:31] Daisy (2, 5) was watered by a sprinkler
[0:0:33] OrangeTree (0, 0) was watered by an irrigation system
[0:0:33] OrangeTree (0, 1) was watered by an irrigation system
[0:0:33] OrangeTree (0, 2) was watered by an irrigation system
[0:0:33] Rose (0, 3) was watered by a sprinkler
[0:0:33] Rose (0, 4) was watered by a sprinkler
[0:0:33] Rose (0, 5) was watered by a sprinkler
[0:0:33] OrangeTree (1, 0) was watered by an irrigation system
[0:0:33] OrangeTree (1, 2) was watered by an irrigation system
[0:0:33] Hydrangea (1, 3) was watered by a sprinkler
[0:0:33] Daisy (1, 5) was watered by a sprinkler
[0:0:33] OrangeTree (2, 0) was watered by an irrigation system
[0:0:33] OrangeTree (2, 1) was watered by an irrigation system
[0:0:33] OrangeTree (2, 2) was watered by an irrigation system
[0:0:33] Daisy (2, 3) was watered by a sprinkler
